Column_Name	Data_Type	Row Count	Distinct_Count	Duplicate_Count	Null_Count	Empty_Count	Value_Count	Min._Value	Max._Value	Min._Length	Max._Length	Avg._Length	Median_Length	RegEx_Matches	Value_Matches
HEALTHCARE.PATIENT.STREET	VARCHAR	30	30	0	0	0	30	136 March Ln.	9379 Martin Rd.	12	21	15	13	Not Performed	Not Performed
HEALTHCARE.PATIENT.ZIP	VARCHAR	30	27	3	0	0	30	03864	99923	5	5	5	5	Not Performed	Not Performed
HEALTHCARE.PATIENT_PRESCRIPTION.APPOINTMENT_NUMBER	VARCHAR	30	17	13	0	0	30	047593589	561676804	9	9	9	9	Not Performed	Not Performed
HEALTHCARE.PATIENT_PRESCRIPTION.DATE_STARTED	DATE	30	26	4	0	0	30	2021-01-26	2021-12-03	10	10	10	10	Not Performed	Not Performed
HEALTHCARE.PATIENT_PRESCRIPTION.DOSAGE	VARCHAR	30	11	19	0	0	30	0.1	60	1	4	2	1	Not Performed	Not Performed
HEALTHCARE.PATIENT_PRESCRIPTION.PATIENT_PRESCRIPTION_NUMBER	VARCHAR	30	30	0	0	0	30	PPN-02061	PPN-60044	9	9	9	9	Not Performed	Not Performed
HEALTHCARE.PATIENT_PRESCRIPTION.PRESCRIPTION_ID	VARCHAR	30	23	7	0	0	30	rx0261972	rx7244858	9	9	9	9	Not Performed	Not Performed
HEALTHCARE.PATIENT_PRESCRIPTION.SPECIAL_INSTRUCTIONS	VARCHAR	30	9	21	0	0	30	Daily	Twice a day	5	18	12	10	Not Performed	Not Performed
HEALTHCARE.PRESCRIPTION.PRESCRIPTION_ID	VARCHAR	30	30	0	0	0	30	rx0261972	rx7244858	9	9	9	9	Not Performed	Not Performed
HEALTHCARE.PRESCRIPTION.PRESCRIPTION_NAME	VARCHAR	30	20	10	0	0	30	Amlodipine	Zolpidem	8	23	12	9	Not Performed	Not Performed
HEALTHCARE.PRESCRIPTION.PRICE	DECIMAL	30	22	8	0	0	30	1.39	91.86	4	6	5	4	Not Performed	Not Performed
